2017-06-17T22:51:56Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.378, eth_shares: 562, eth_shares_pct: 26.37, dcr_speed: 328.532, dcr_shares: 2412, dcr_shares_pct: 39.34
2017-06-17T22:51:56Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.379, eth_shares: 594, eth_shares_pct: 27.87, dcr_speed: 352.545, dcr_shares: 2631, dcr_shares_pct: 42.91
2017-06-17T22:51:56Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.777, eth_shares: 405, eth_shares_pct: 19.01, dcr_speed: 285.329, dcr_shares: 1087, dcr_shares_pct: 17.73
2017-06-17T22:51:56Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.918, eth_shares: 615, eth_shares_pct: 28.86, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:52:06Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.904, eth_shares: 562, eth_shares_pct: 26.37, dcr_speed: 334.849, dcr_shares: 2412, dcr_shares_pct: 39.33
2017-06-17T22:52:06Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.315, eth_shares: 594, eth_shares_pct: 27.87, dcr_speed: 351.774, dcr_shares: 2631, dcr_shares_pct: 42.91
2017-06-17T22:52:06Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.732, eth_shares: 405, eth_shares_pct: 19.01, dcr_speed: 284.778, dcr_shares: 1088, dcr_shares_pct: 17.74
2017-06-17T22:52:06Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.930, eth_shares: 615, eth_shares_pct: 28.86, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:52:16Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.948, eth_shares: 562, eth_shares_pct: 26.37, dcr_speed: 335.375, dcr_shares: 2413, dcr_shares_pct: 39.34
2017-06-17T22:52:16Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.323, eth_shares: 594, eth_shares_pct: 27.87, dcr_speed: 351.871, dcr_shares: 2631, dcr_shares_pct: 42.9
2017-06-17T22:52:16Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.739, eth_shares: 405, eth_shares_pct: 19.01, dcr_speed: 284.864, dcr_shares: 1088, dcr_shares_pct: 17.74
2017-06-17T22:52:16Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.912, eth_shares: 615, eth_shares_pct: 28.86, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:52:26Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.925, eth_shares: 562, eth_shares_pct: 26.37, dcr_speed: 335.102, dcr_shares: 2413, dcr_shares_pct: 39.34
2017-06-17T22:52:26Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 28.956, eth_shares: 594, eth_shares_pct: 27.87, dcr_speed: 347.466, dcr_shares: 2631, dcr_shares_pct: 42.9
2017-06-17T22:52:26Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.751, eth_shares: 405, eth_shares_pct: 19.01, dcr_speed: 285.016, dcr_shares: 1088, dcr_shares_pct: 17.74
2017-06-17T22:52:26Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.909, eth_shares: 615, eth_shares_pct: 28.86, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:52:36Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.964, eth_shares: 562, eth_shares_pct: 26.37, dcr_speed: 335.573, dcr_shares: 2413, dcr_shares_pct: 39.34
2017-06-17T22:52:36Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.270, eth_shares: 594, eth_shares_pct: 27.87, dcr_speed: 351.242, dcr_shares: 2631, dcr_shares_pct: 42.9
2017-06-17T22:52:36Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.789, eth_shares: 405, eth_shares_pct: 19.01, dcr_speed: 285.467, dcr_shares: 1088, dcr_shares_pct: 17.74
2017-06-17T22:52:36Z02:00, machine: minr, id: GPU3, temp: 73, fan: 69, eth_speed: 28.910, eth_shares: 615, eth_shares_pct: 28.86, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:52:46Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.382, eth_shares: 562, eth_shares_pct: 26.36, dcr_speed: 328.585, dcr_shares: 2414, dcr_shares_pct: 39.35
2017-06-17T22:52:46Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.385, eth_shares: 594, eth_shares_pct: 27.86, dcr_speed: 352.616, dcr_shares: 2631, dcr_shares_pct: 42.89
2017-06-17T22:52:46Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.736, eth_shares: 406, eth_shares_pct: 19.04, dcr_speed: 284.827, dcr_shares: 1088, dcr_shares_pct: 17.74
2017-06-17T22:52:46Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.908, eth_shares: 615, eth_shares_pct: 28.85, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:52:56Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.399, eth_shares: 562, eth_shares_pct: 26.36, dcr_speed: 328.788, dcr_shares: 2414, dcr_shares_pct: 39.35
2017-06-17T22:52:56Z02:00, machine: minr, id: GPU1, temp: 67, fan: 40, eth_speed: 29.394, eth_shares: 594, eth_shares_pct: 27.86, dcr_speed: 352.725, dcr_shares: 2632, dcr_shares_pct: 42.9
2017-06-17T22:52:56Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.723, eth_shares: 406, eth_shares_pct: 19.04, dcr_speed: 284.681, dcr_shares: 1088, dcr_shares_pct: 17.73
2017-06-17T22:52:56Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.907, eth_shares: 615, eth_shares_pct: 28.85, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:53:06Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.922, eth_shares: 562, eth_shares_pct: 26.35, dcr_speed: 335.069, dcr_shares: 2415, dcr_shares_pct: 39.36
2017-06-17T22:53:06Z02:00, machine: minr, id: GPU1, temp: 66, fan: 40, eth_speed: 29.350, eth_shares: 595, eth_shares_pct: 27.89, dcr_speed: 352.195, dcr_shares: 2632, dcr_shares_pct: 42.89
2017-06-17T22:53:06Z02:00, machine: minr, id: GPU2, temp: 67, fan: 69, eth_speed: 23.290, eth_shares: 406, eth_shares_pct: 19.03, dcr_speed: 279.485, dcr_shares: 1088, dcr_shares_pct: 17.73
2017-06-17T22:53:06Z02:00, machine: minr, id: GPU3, temp: 72, fan: 69, eth_speed: 28.899, eth_shares: 615, eth_shares_pct: 28.83, dcr_speed: 0, dcr_shares: 7, dcr_shares_pct: 0.11
2017-06-17T22:53:17Z02:00, machine: minr, id: GPU0, temp: 68, fan: 44, eth_speed: 27.907, eth_shares: 562, eth_shares_pct: 26.34, dcr_speed: 334.888, dcr_shares: 2415, dcr_shares_pct: 39.36
