2017-06-17T22:51:56Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.452, eth_total_shares: 2131, eth_total_rejected: 0, eth_avg_speed_per_card: 27.36, eth_avg_shares_per_card: 532.75, dcr_total_speed: 966.406, dcr_total_shares: 6131, dcr_total_rejected: 88, dcr_avg_speed_per_card: 241.6, dcr_avg_shares_per_card: 1532.75
2017-06-17T22:52:06Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.880, eth_total_shares: 2131, eth_total_rejected: 0, eth_avg_speed_per_card: 27.47, eth_avg_shares_per_card: 532.75, dcr_total_speed: 971.401, dcr_total_shares: 6132, dcr_total_rejected: 88, dcr_avg_speed_per_card: 242.85, dcr_avg_shares_per_card: 1533
2017-06-17T22:52:16Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.921, eth_total_shares: 2131, eth_total_rejected: 0, eth_avg_speed_per_card: 27.48, eth_avg_shares_per_card: 532.75, dcr_total_speed: 972.110, dcr_total_shares: 6133, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.03, dcr_avg_shares_per_card: 1533.25
2017-06-17T22:52:26Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.542, eth_total_shares: 2131, eth_total_rejected: 0, eth_avg_speed_per_card: 27.39, eth_avg_shares_per_card: 532.75, dcr_total_speed: 967.584, dcr_total_shares: 6133, dcr_total_rejected: 88, dcr_avg_speed_per_card: 241.9, dcr_avg_shares_per_card: 1533.25
2017-06-17T22:52:36Z02:00, machine: minr, avg_temp: 68.75, avg_fan: 55.5, eth_total_speed: 109.934, eth_total_shares: 2131, eth_total_rejected: 0, eth_avg_speed_per_card: 27.48, eth_avg_shares_per_card: 532.75, dcr_total_speed: 972.282, dcr_total_shares: 6133, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.07, dcr_avg_shares_per_card: 1533.25
2017-06-17T22:52:46Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.411, eth_total_shares: 2132, eth_total_rejected: 0, eth_avg_speed_per_card: 27.35, eth_avg_shares_per_card: 533, dcr_total_speed: 966.028, dcr_total_shares: 6134, dcr_total_rejected: 88, dcr_avg_speed_per_card: 241.51, dcr_avg_shares_per_card: 1533.5
2017-06-17T22:52:56Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.423, eth_total_shares: 2132, eth_total_rejected: 0, eth_avg_speed_per_card: 27.36, eth_avg_shares_per_card: 533, dcr_total_speed: 966.194, dcr_total_shares: 6135, dcr_total_rejected: 88, dcr_avg_speed_per_card: 241.55, dcr_avg_shares_per_card: 1533.75
2017-06-17T22:53:06Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 109.461, eth_total_shares: 2133, eth_total_rejected: 0, eth_avg_speed_per_card: 27.37, eth_avg_shares_per_card: 533.25, dcr_total_speed: 966.749, dcr_total_shares: 6136, dcr_total_rejected: 88, dcr_avg_speed_per_card: 241.69, dcr_avg_shares_per_card: 1534
2017-06-17T22:53:17Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.925, eth_total_shares: 2134, eth_total_rejected: 0, eth_avg_speed_per_card: 27.48, eth_avg_shares_per_card: 533.5, dcr_total_speed: 972.139, dcr_total_shares: 6136, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.03, dcr_avg_shares_per_card: 1534
2017-06-17T22:53:27Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.892, eth_total_shares: 2134, eth_total_rejected: 0, eth_avg_speed_per_card: 27.47, eth_avg_shares_per_card: 533.5, dcr_total_speed: 971.695, dcr_total_shares: 6137, dcr_total_rejected: 88, dcr_avg_speed_per_card: 242.92, dcr_avg_shares_per_card: 1534.25
2017-06-17T22:53:37Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.831, eth_total_shares: 2135, eth_total_rejected: 0, eth_avg_speed_per_card: 27.46, eth_avg_shares_per_card: 533.75, dcr_total_speed: 971.080, dcr_total_shares: 6137, dcr_total_rejected: 88, dcr_avg_speed_per_card: 242.77, dcr_avg_shares_per_card: 1534.25
2017-06-17T22:53:47Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.837, eth_total_shares: 2135, eth_total_rejected: 0, eth_avg_speed_per_card: 27.46, eth_avg_shares_per_card: 533.75, dcr_total_speed: 971.075, dcr_total_shares: 6140, dcr_total_rejected: 88, dcr_avg_speed_per_card: 242.77, dcr_avg_shares_per_card: 1535
2017-06-17T22:53:57Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.905, eth_total_shares: 2135, eth_total_rejected: 0, eth_avg_speed_per_card: 27.48, eth_avg_shares_per_card: 533.75, dcr_total_speed: 971.832, dcr_total_shares: 6141, dcr_total_rejected: 88, dcr_avg_speed_per_card: 242.96, dcr_avg_shares_per_card: 1535.25
2017-06-17T22:54:07Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.913, eth_total_shares: 2135, eth_total_rejected: 0, eth_avg_speed_per_card: 27.48, eth_avg_shares_per_card: 533.75, dcr_total_speed: 971.968, dcr_total_shares: 6142, dcr_total_rejected: 88, dcr_avg_speed_per_card: 242.99, dcr_avg_shares_per_card: 1535.5
2017-06-17T22:54:17Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.649, eth_total_shares: 2135, eth_total_rejected: 0, eth_avg_speed_per_card: 27.41, eth_avg_shares_per_card: 533.75, dcr_total_speed: 968.934, dcr_total_shares: 6144, dcr_total_rejected: 88, dcr_avg_speed_per_card: 242.23, dcr_avg_shares_per_card: 1536
2017-06-17T22:54:27Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.628, eth_total_shares: 2136, eth_total_rejected: 0, eth_avg_speed_per_card: 27.41, eth_avg_shares_per_card: 534, dcr_total_speed: 968.580, dcr_total_shares: 6146, dcr_total_rejected: 88, dcr_avg_speed_per_card: 242.15, dcr_avg_shares_per_card: 1536.5
2017-06-17T22:54:37Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.885, eth_total_shares: 2136, eth_total_rejected: 0, eth_avg_speed_per_card: 27.47, eth_avg_shares_per_card: 534, dcr_total_speed: 971.693, dcr_total_shares: 6146, dcr_total_rejected: 88, dcr_avg_speed_per_card: 242.92, dcr_avg_shares_per_card: 1536.5
2017-06-17T22:54:47Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.527, eth_total_shares: 2136, eth_total_rejected: 0, eth_avg_speed_per_card: 27.38, eth_avg_shares_per_card: 534, dcr_total_speed: 967.439, dcr_total_shares: 6147, dcr_total_rejected: 88, dcr_avg_speed_per_card: 241.86, dcr_avg_shares_per_card: 1536.75
2017-06-17T22:54:57Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 98.478, eth_total_shares: 2137, eth_total_rejected: 0, eth_avg_speed_per_card: 24.62, eth_avg_shares_per_card: 534.25, dcr_total_speed: 890.828, dcr_total_shares: 6147, dcr_total_rejected: 88, dcr_avg_speed_per_card: 222.71, dcr_avg_shares_per_card: 1536.75
2017-06-17T22:55:07Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 110.083, eth_total_shares: 2137, eth_total_rejected: 0, eth_avg_speed_per_card: 27.52, eth_avg_shares_per_card: 534.25, dcr_total_speed: 974.014, dcr_total_shares: 6148, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.5, dcr_avg_shares_per_card: 1537
2017-06-17T22:55:17Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.954, eth_total_shares: 2137, eth_total_rejected: 0, eth_avg_speed_per_card: 27.49, eth_avg_shares_per_card: 534.25, dcr_total_speed: 972.522, dcr_total_shares: 6149, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.13, dcr_avg_shares_per_card: 1537.25
2017-06-17T22:55:27Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 110.091, eth_total_shares: 2137, eth_total_rejected: 0, eth_avg_speed_per_card: 27.52, eth_avg_shares_per_card: 534.25, dcr_total_speed: 974.242, dcr_total_shares: 6149, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.56, dcr_avg_shares_per_card: 1537.25
2017-06-17T22:55:37Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.446, eth_total_shares: 2137, eth_total_rejected: 0, eth_avg_speed_per_card: 27.36, eth_avg_shares_per_card: 534.25, dcr_total_speed: 966.337, dcr_total_shares: 6149, dcr_total_rejected: 88, dcr_avg_speed_per_card: 241.58, dcr_avg_shares_per_card: 1537.25
